event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j2over,r1j3over,r1j4over,r1j5over,r1j6over,r1j7over,r1j8over,r1j9over,r2j1over,r2j2over,r2j3over,r2j4over,r2j5over,r2j6over,r2j7over,r2j8over,r2j9over,r3j1over,r3j2over,r3j3over,r3j4over,r3j5over,r3j6over,r3j7over,r3j8over,r3j9over,r4j1over,r4j2over,r4j3over,r4j4over,r4j5over,r4j6over,r4j7over,r4j8over,r4j9over,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Nightmare,B-Boy Slim,B-Boy Slim,1,3,0,1,1,2,Dazl,Prototype,Omegatron,,,,,,,-100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Tittch,B-Boy Crescendo,Tittch,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Spinner,Brisk,B-Boy Spinner,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B Girl Ace,Philoops,B Girl Ace,1,3,1,0,2,1,Dazl,Prototype,Omegatron,,,,,,,-100,100,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Slim,Hell cat,B-Boy Slim,1,3,1,0,2,1,Dazl,Prototype,Omegatron,,,,,,,-100,-100,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Nightmare,Lil Time,B-Boy Nightmare,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Crescendo,Wolf,B-Boy Crescendo,1,3,1,0,2,1,Dazl,Prototype,Omegatron,,,,,,,-100,-100,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Tittch,SamyBoy,Tittch,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Brisk,Fuzzy legs,Brisk,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-90,-70,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Spinner,B-Boy KingDom,B-Boy Spinner,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-94,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Philoops,B-Boy D-Brods,Philoops,1,3,1,0,2,1,Dazl,Prototype,Omegatron,,,,,,,-100,-85,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B Girl Ace,FunkyJay,B Girl Ace,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-82,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Hell cat,Attack,Hell cat,1,3,1,0,2,1,Dazl,Prototype,Omegatron,,,,,,,100,-47,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Slim,Lol’D,B-Boy Slim,1,3,1,0,3,0,Dazl,Prototype,Omegatron,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,ChewieB,Lil Time,Lil Time,1,3,0,1,0,3,Dazl,Prototype,Omegatron,,,,,,,100,32,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Raphy B,B-Boy Nightmare,B-Boy Nightmare,1,3,0,1,1,2,Dazl,Prototype,Omegatron,,,,,,,100,100,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy GoodWill,Wolf,Wolf,1,3,0,1,1,2,Dazl,Prototype,Omegatron,,,,,,,100,-58,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Willy the kid,B-Boy Crescendo,B-Boy Crescendo,1,3,0,1,0,3,Dazl,Prototype,Omegatron,,,,,,,100,100,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,Dydypow,SamyBoy,SamyBoy,1,3,0,1,0,3,Dazl,Prototype,Omegatron,,,,,,,100,15,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Championnat Breaking Quebec 2023,1vs1 Breaking (10-13 ans) Top 32 KnockOut,B-Boy Abraham,Tittch,Tittch,1,3,0,1,0,3,Dazl,Prototype,Omegatron,,,,,,,100,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
